Date,Price,Avg Sentiment Score,Tweet,Emotion
2024-03-25,67310.98326810106,0.4404,"Should  I  book profit on  BITCOIN Future at 1,05,000 today  ?",Positive
2024-03-30,69919.05546148612,0.4767,"RT @TheBTCTherapist: How fractional reserve banking works in the United States, explained in 3 minutes.

You’re going to want to buy #Bitco…",Positive
2024-03-31,69702.3087473573,0.0,"RT @CryptoMichNL: The #Bitcoin markets have been correcting, with a 30% correction.

What's happening?

Let's talk about it in our new podc…",Neutral
